frame,c0_errors,total_errors,ambe49
0,0,0,16025729f15c5
1,0,0,02025ae1c8965
2,0,0,06de82a109661
3,0,0,06c390a1e46fc
4,0,0,06c840a1fc5f3
5,0,0,04c6182151c2d
6,0,0,04c6882179c2e
7,0,0,06c70aa1004ff
8,0,0,06c7a0a1094f2
9,0,0,06c700a1314f3
10,0,0,06c684a1304f3
11,0,0,06c7a0b1014fe
12,0,0,06c684b1c94f1
13,0,0,06c700a13c478
14,0,0,06c7a0b1c43f4
15,0,0,04c8182150c28
16,0,0,04c610214dc2f
17,0,0,06c7caa1082f3
18,0,0,06c710a1c94f1
19,0,0,06c700a1017f7
20,0,0,06c696a10c2f1
21,0,0,06c700b1c94f7
22,0,0,06c684a1056fd
23,0,0,06c700a0716dc
24,0,0,04c6812158c2b
25,0,0,04c830216cc2a
26,0,0,06c712a1c45f5
27,0,0,06c6c0a1214f7
28,0,0,06c7a0a1114f2
29,0,0,04c6182159c2c
30,0,0,06c686a1086fa
31,0,0,06c794a1052f0
32,0,0,06c689a111674
33,0,0,06c7b0a1e54f2
34,0,0,06c700b0556fd
35,0,0,06c696a0e14f2
36,0,0,06c68ab1f07f7
37,0,0,06c7b0a1356fe
38,0,0,06c700b1356f8
39,0,0,04c6182159c28
40,0,0,04c6882149c2b
41,0,0,04c6102155c2b
42,0,0,06c686a1e85f2
43,0,0,06c6c0a13d4f0
44,0,0,06c6c1a1d4671
45,0,0,04c8182174c2f
46,0,0,06c781a11c779
47,0,0,06c798a1e15f5
48,0,0,06c642a1357ff
49,0,0,06c798a0c96f5
50,0,0,04c6102151c2a
51,0,0,06c788a1216fd
frames=52 samples=8320 duration_ms=1040
